Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matrix-multiplication,201,0,1200.0,1598.046636010233,21.021332999225706,7929.299792012898,52.32835820895522,0.2783963579751467,0.0,1200,1800,2200,2500,3100,5600,6500,6900,7900,7900,7900
,Aggregated,201,0,1200.0,1598.046636010233,21.021332999225706,7929.299792012898,52.32835820895522,0.2783963579751467,0.0,1200,1800,2200,2500,3100,5600,6500,6900,7900,7900,7900
