"Time","GPU 0"
2025-07-28 12:32:00,0%
2025-07-28 12:32:30,0%
2025-07-28 12:33:00,0%
2025-07-28 12:33:30,0%
2025-07-28 12:34:00,0%
2025-07-28 12:34:30,0%
2025-07-28 12:35:00,0%
