"Time","GPU 0"
2025-07-28 12:32:00,1 MB
2025-07-28 12:32:30,4.64 GB
2025-07-28 12:33:00,16.0 GB
2025-07-28 12:33:30,5.69 GB
2025-07-28 12:34:00,19.4 GB
2025-07-28 12:34:30,5.49 GB
2025-07-28 12:35:00,5.49 GB
