"Time","GPU 0"
2025-07-28 12:32:00,29.7 W
2025-07-28 12:32:30,140 W
2025-07-28 12:33:00,148 W
2025-07-28 12:33:30,169 W
2025-07-28 12:34:00,145 W
2025-07-28 12:34:30,124 W
2025-07-28 12:35:00,32.0 W
