Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matrix-multiplication,200,0,1200.0,1321.2962193391286,18.49354201112874,3805.1404999860097,52.32,0.3016279797167973,0.0,1200,1700,2000,2200,2800,3100,3300,3500,3800,3800,3800
,Aggregated,200,0,1200.0,1321.2962193391286,18.49354201112874,3805.1404999860097,52.32,0.3016279797167973,0.0,1200,1700,2000,2200,2800,3100,3300,3500,3800,3800,3800
